content;tokens;tokens_ready;text;polarity;sentiment
Menteri BUMN Erick Thohir akan mengoptimalkan peran dari My Pertamina, setelah pemerintah memutuskan untuk melakukan penyesuaian harga terhadap BBM bersubsidi. @erickthohir akan berkoordinasi dengan Pertamina, PT Telkom, serta Polri untuk mendapatkan dukungan. #BangkitBersamaET https://t.co/koWS396AzG;['menteri', 'bumn', 'erick', 'thohir', 'mengoptimalkan', 'peran', 'pemerintah', 'memutuskan', 'penyesuaian', 'harga', 'bbm', 'bersubsidi', 'berkoordinasi', 'telkom', 'polri', 'dukungan', 'bangkitbersamaet'];['menteri', 'bumn', 'erick', 'thohir', 'optimal', 'peran', 'perintah', 'putus', 'sesuai', 'harga', 'bbm', 'subsidi', 'koordinasi', 'telkom', 'polri', 'dukung', 'bangkitbersamaet'];menteri bumn erick thohir optimal peran perintah putus sesuai harga bbm subsidi koordinasi telkom polri dukung bangkitbersamaet;14;1
Naik juga setelah ditunda . #bbmnaik #pertamina #infografis #infographic @ Jakarta https://t.co/wVvrd88ZiJ;['ditunda', 'bbmnaik', 'infografis', 'infographic', 'jakarta'];['tunda', 'bbmnaik', 'infografis', 'infographic', 'jakarta'];tunda bbmnaik infografis infographic jakarta;0;1
Trus fungsinya my pertamina dan barcodenya buat apaan cuk ? Ahok kemane nih, gak kelihatan bacotnya;['fungsinya', 'barcodenya', 'cuk', 'ahok', 'kemane', 'nih', 'bacot'];['fungsi', 'barcodenya', 'cuk', 'ahok', 'kemane', 'nih', 'bacot'];fungsi barcodenya cuk ahok kemane nih bacot;3;1
Mau bilang anjir lu Pertamina!, in other side gw ttp mantengin lowongan pertamina : ) so sh*tyyy this lyfe;['bilang', 'anjing', 'sisi', 'fokus', 'lowongan', 'tyyy', 'lyfe'];['bilang', 'anjing', 'sisi', 'fokus', 'lowong', 'tyyy', 'lyfe'];bilang anjing sisi fokus lowong tyyy lyfe;-1;0
@ndagels Gercep banget, perasaan belom sampe berhari-hari tuh VIVO harganya di bawah pertamina😁;['gercep', 'banget', 'perasaan', 'berhari', 'harganya'];['gercep', 'banget', 'asa', 'harga'];gercep banget asa harga;7;1
Wkwkw pertamina...pertamina... https://t.co/oyjeRUNS47;['wkwkw'];['wkwkw'];wkwkw;0;1
dulu petral dibubarkan dengan alasan mafia migas, padahal skrg kenyataannya pertamina malah merugi, mafia migas makin menjadi jadi dan BBM naik saat Minyak dunia turun ? ada yg tahu kenapa? #DemokratBersamaRakyat https://t.co/HL2o3yL1jp;['petral', 'dibubarkan', 'alasan', 'mafia', 'migas', 'kenyataannya', 'merugi', 'mafia', 'migas', 'bbm', 'minyak', 'dunia', 'turun', 'demokratbersamarakyat'];['petral', 'bubar', 'alas', 'mafia', 'migas', 'nyata', 'rugi', 'mafia', 'migas', 'bbm', 'minyak', 'dunia', 'turun', 'demokratbersamarakyat'];petral bubar alas mafia migas nyata rugi mafia migas bbm minyak dunia turun demokratbersamarakyat;-9;0
@eceuuuuuuuuuu Menaikkan adalah solusi? Buat perarturan di pertamina sana untuk membeli pertalite disesuai jenis kendaraannya... Ini mah bukan solusi akhir... Mereka membuat seakan2 akan memberikan BLT tapi pada praktiknya berapa banyak anggaran yang akan dikorupsi?;['menaikkan', 'solusi', 'peraturan', 'membeli', 'pertalite', 'disesuai', 'jenis', 'kendaraannya', 'mah', 'solusi', 'seakan', 'blt', 'praktiknya', 'anggaran', 'dikorupsi'];['solusi', 'atur', 'beli', 'pertalite', 'sesuai', 'jenis', 'kendara', 'mah', 'solusi', 'blt', 'praktik', 'anggar', 'korupsi'];solusi atur beli pertalite sesuai jenis kendara mah solusi blt praktik anggar korupsi;14;1
@SaifuddinSay @sabanabana5 yg untung ya si ahok suka merem itu, mantan napi modal taik taik aja diangkat jadi komut pertamina.. tau  apa dia soal minyak..;['untung', 'ahok', 'suka', 'merem', 'mantan', 'napi', 'modal', 'tai', 'tai', 'diangkat', 'komut', 'tau', 'minyak'];['untung', 'ahok', 'suka', 'merem', 'mantan', 'napi', 'modal', 'tai', 'tai', 'angkat', 'komut', 'tau', 'minyak'];untung ahok suka merem mantan napi modal tai tai angkat komut tau minyak;-8;0
"@hnurwahid Pak HNW @hnurwahid pasti punya hitungan brp konsumi bbm di sini dan disana dan kalikan subsidi yg hrs ditanggung negara. Trs bandingkan harga di spbu pertamina &amp; petronas di Indonesia. Jgn sampai membandingkan kebijakan dr judul berita dari lini masa. U r smart so think like one";['hnw', 'hitungan', 'konsumi', 'bbm', 'disana', 'kalikan', 'subsidi', 'ditanggung', 'negara', 'trs', 'bandingkan', 'harga', 'spbu', 'petronas', 'indonesia', 'membandingkan', 'kebijakan', 'judul', 'berita', 'lini', 'pintar', 'pikir'];['hnw', 'hitung', 'konsumi', 'bbm', 'kali', 'subsidi', 'tanggung', 'negara', 'trs', 'banding', 'harga', 'spbu', 'petronas', 'indonesia', 'banding', 'bijak', 'judul', 'berita', 'lini', 'pintar', 'pikir'];hnw hitung konsumi bbm kali subsidi tanggung negara trs banding harga spbu petronas indonesia banding bijak judul berita lini pintar pikir;14;1
@aindraku Ngak usah jauh cari perbandingan, didepan mata kita saja Vivo jual 8900/lt, itu dia sdh LABA, masalahnya Pertamina tdk terbuka nerapa sebenarnya harga pokok produksi BBM, selalu ngomongnya harga ke ekonomian;['cari', 'perbandingan', 'didepan', 'mata', 'jual', 'laba', 'terbuka', 'harga', 'pokok', 'produksi', 'bbm', 'ngomongnya', 'harga', 'ekonomian'];['cari', 'banding', 'mata', 'jual', 'laba', 'buka', 'harga', 'pokok', 'produksi', 'bbm', 'ngomongnya', 'harga', 'ekonomi'];cari banding mata jual laba buka harga pokok produksi bbm ngomongnya harga ekonomi;15;1
No debat, pertamina rugi.  Pendukung Ahok jgn pura2 bahagia ya,,, https://t.co/oOcN7K7Fvz;['debat', 'rugi', 'pendukung', 'ahok', 'pura', 'bahagia'];['debat', 'rugi', 'dukung', 'ahok', 'pura', 'bahagia'];debat rugi dukung ahok pura bahagia;6;1
@detikcom Hanya ebong yg paham....pesona dan kehebatan blio. BBM naik, Pertamina rugi, PLN rugi, Garuda bangkrut, BPJS rugi, tol dijual, rupiah remuk utang numpuk rakyat terpuruk;['ebong', 'paham', 'pesona', 'kehebatan', 'blio', 'bbm', 'rugi', 'pln', 'rugi', 'garuda', 'bangkrut', 'bpjs', 'rugi', 'tol', 'dijual', 'rupiah', 'remuk', 'utang', 'numpuk', 'rakyat', 'terpuruk'];['ebong', 'paham', 'pesona', 'hebat', 'blio', 'bbm', 'rugi', 'pln', 'rugi', 'garuda', 'bangkrut', 'bpjs', 'rugi', 'tol', 'jual', 'rupiah', 'remuk', 'utang', 'numpuk', 'rakyat', 'puruk'];ebong paham pesona hebat blio bbm rugi pln rugi garuda bangkrut bpjs rugi tol jual rupiah remuk utang numpuk rakyat puruk;-26;0
@Dennysiregar7 Mas..kenapa SPBU Vivo bisa lebih murah dari Pertamina ya;['mas', 'spbu', 'murah'];['mas', 'spbu', 'murah'];mas spbu murah;3;1
@NephiLaxmus Yaudah, Pertamina jualan yang RON 89 saja kan lebih murah? Kan masyarakat tidak peduli RON, mereka hanya ingin harga BBM murah.;['yaudah', 'jualan', 'ron', 'murah', 'masyarakat', 'peduli', 'ron', 'harga', 'bbm', 'murah'];['yaudah', 'jual', 'ron', 'murah', 'masyarakat', 'peduli', 'ron', 'harga', 'bbm', 'murah'];yaudah jual ron murah masyarakat peduli ron harga bbm murah;15;1
@ImanAmiq @Noeg1234 @awemany @msaid_didu @FarisLangkat @AnthonyBudiawan @FPKSDPRRI Nat, becus pake Gugel Nat? Udah sejak lama, dijelaskan, sesuai UU dan Kepmen, formula harga dasar BBM Pertamina itu mengandung biaya distribusi dan penyimpanan dsb. Belajar sebelum ASBACOT. Jangan KHIANATI BANGSA-MU SENDIRI;['becus', 'pake', 'gugel', 'sesuai', 'kepmen', 'formula', 'harga', 'dasar', 'bbm', 'mengandung', 'biaya', 'distribusi', 'penyimpanan', 'dsb', 'belajar', 'bacot', 'khianati', 'bangsa'];['becus', 'pake', 'gugel', 'sesuai', 'kepmen', 'formula', 'harga', 'dasar', 'bbm', 'kandung', 'biaya', 'distribusi', 'simpan', 'dsb', 'ajar', 'bacot', 'khianat', 'bangsa'];becus pake gugel sesuai kepmen formula harga dasar bbm kandung biaya distribusi simpan dsb ajar bacot khianat bangsa;7;1
@SupraminR @Sjaechu Ngapain aja dia di Pertamina? Yaa ngebacooott saja;['yaa', 'ngebacooott'];['yaa', 'ngebacooott'];yaa ngebacooott;0;1
@D1t07 @6undul0h @UyokBack @Mariana_Kalla Ngga bisa kak. Pemerintah udah kasih syarat, harga mereka harus lebih tinggi dari pertamina. Pengen misuh takut kecyduk. 😁;['kak', 'pemerintah', 'kasih', 'syarat', 'harga', 'mengumpat', 'takut', 'ketangkap'];['kak', 'perintah', 'kasih', 'syarat', 'harga', 'umpat', 'takut', 'tangkap'];kak perintah kasih syarat harga umpat takut tangkap;-1;0
Bgsnya vivo naikkan harga ... dkt2 hrga pertamina biar untung besar....eeeaaaa... https://t.co/PypTfMWFiu;['bagusnya', 'naikkan', 'harga', 'harga', 'biar', 'untung', 'eeeaaaa'];['bagus', 'harga', 'harga', 'biar', 'untung', 'eeeaaaa'];bagus harga harga biar untung eeeaaaa;12;1
Kalo kenaikan bbm khususnya pertalite di naikan gara2 70% persen di gunakan sama orang MAMPU .. buat apa fungsi my Pertamina tolol #SubsidiTepatUntukRakyat;['kenaikan', 'bbm', 'pertalite', 'naikan', 'persen', 'orang', 'fungsi', 'tolol', 'subsiditepatuntukrakyat'];['bbm', 'pertalite', 'persen', 'orang', 'fungsi', 'tolol', 'subsiditepatuntukrakyat'];bbm pertalite persen orang fungsi tolol subsiditepatuntukrakyat;-3;0
@yo2thok @RadioElshinta @KPPU ini pemerintah @jokowi @KementerianESDM @pertamina melakukan pelanggaran persaingan usaha tidak sehat, dan @vivo_indonesia bisa gugat mereka semua;['pemerintah', 'pelanggaran', 'persaingan', 'usaha', 'sehat', 'gugat'];['perintah', 'langgar', 'saing', 'usaha', 'sehat', 'gugat'];perintah langgar saing usaha sehat gugat;5;1
@RudyRudyNKRI @baharirwan2 Trus apa hub nya bong? Beli bbm gak pernah ngutang di spbu, tapi pertamina rugi mulu.....otak kau lupa narok ya?;['hub', 'nya', 'bong', 'beli', 'bbm', 'hutang', 'spbu', 'rugi', 'mulu', 'otak', 'lupa', 'menaruh'];['hub', 'nya', 'bong', 'beli', 'bbm', 'hutang', 'spbu', 'rugi', 'mulu', 'otak', 'lupa', 'taruh'];hub nya bong beli bbm hutang spbu rugi mulu otak lupa taruh;2;1
@h444_rt @msaid_didu rakyat miskin macam gue yg harus di subsidi tapi realnya 70% orang kaya yg minta disubsidi termasuk lu kali emak bukan pertamina;['rakyat', 'miskin', 'subsidi', 'realnya', 'orang', 'kaya', 'disubsidi', 'kali'];['rakyat', 'miskin', 'subsidi', 'real', 'orang', 'kaya', 'subsidi', 'kali'];rakyat miskin subsidi real orang kaya subsidi kali;-1;0
Belanja Modal Bangunan Gedung Tempat Kerja Lainnya ( Pagar, Gapura, Pos Jaga, Biosecurity, Parkiran,... (05/Sep) , trend - Pertamina #tender #lelang https://t.co/SocE4LSuSf;['blnja', 'modal', 'bangunan', 'gedung', 'kerja', 'pagar', 'gapura', 'pos', 'jaga', 'biosecurity', 'parkiran', 'sep', 'tren', 'tender', 'lelang'];['blnja', 'modal', 'bangun', 'gedung', 'kerja', 'pagar', 'gapura', 'pos', 'jaga', 'biosecurity', 'parkir', 'sep', 'tren', 'tender', 'lelang'];blnja modal bangun gedung kerja pagar gapura pos jaga biosecurity parkir sep tren tender lelang;2;1
Gue punya ide gimana kalau kita gak usah beli BBm Pertamina selama 2atau 3 bulan. Kira-kira turun gak tu harganya. Karena menurut teori ekonomi tentang jual beli bahwa Harga ditentukan oleh supply and demand.;['ide', 'gimana', 'beli', 'bbm', 'turun', 'harganya', 'teori', 'ekonomi', 'jual', 'beli', 'harga', 'ditentukan', 'stok', 'permintaan'];['ide', 'gimana', 'beli', 'bbm', 'turun', 'harga', 'teori', 'ekonomi', 'jual', 'beli', 'harga', 'stok'];ide gimana beli bbm turun harga teori ekonomi jual beli harga stok;9;1
Ayo, Vivo. Maju terus dengan kebijakan harga di bawah Pertamina. Lawan itu ESDM.;['ayo', 'maju', 'kebijakan', 'harga', 'lawan', 'esdm'];['ayo', 'maju', 'bijak', 'harga', 'lawan', 'esdm'];ayo maju bijak harga lawan esdm;11;1
Petronas Dilaporkan Raup Laba Yang Lebih Tinggi, Apa Kabar Pertamina? https://t.co/nNfg580jpb;['petronas', 'dilaporkan', 'raup', 'laba', 'kabar'];['petronas', 'lapor', 'raup', 'laba', 'kabar'];petronas lapor raup laba kabar;8;1
@iDonnaCarissa pertamina:  udah monopoli minyak di indonésia dapet subsidi dari pemerintah masih tetep rugi tetep naikin harga bbm prik memang;['monopoli', 'minyak', 'indonsia', 'subsidi', 'pemerintah', 'rugi', 'harga', 'bbm', 'aneh'];['monopoli', 'minyak', 'indonsia', 'subsidi', 'perintah', 'rugi', 'harga', 'bbm', 'aneh'];monopoli minyak indonsia subsidi perintah rugi harga bbm aneh;5;1
apasitas pengolahan pada Kilang Pertamina Balongan Kabupaten Indramayu, Jawa Barat, saat ini meningkat setelah selesainya proyek pengembangan, dari sebelumnya sebesar 125.000, k... https://t.co/tBtl1o6aFc;['kapasitas', 'pengolahan', 'kilang', 'balongan', 'kabupaten', 'indramayu', 'jawa', 'barat', 'meningkat', 'selesainya', 'proyek', 'pengembangan'];['kapasitas', 'olah', 'kilang', 'balong', 'kabupaten', 'indramayu', 'jawa', 'barat', 'tingkat', 'selesai', 'proyek', 'kembang'];kapasitas olah kilang balong kabupaten indramayu jawa barat tingkat selesai proyek kembang;6;1
@AnthonyBudiawan Bukan spy vivo untung, tp spy pd beli di pom pertamina lg. Pdhl kl rakyat beli di vivo beban subsidi berkurang, tp emang maunya rampok rakyat kok;['untung', 'beli', 'pom', 'rakyat', 'beli', 'beban', 'subsidi', 'berkurang', 'maunya', 'rampok', 'rakyat'];['untung', 'beli', 'pom', 'rakyat', 'beli', 'beban', 'subsidi', 'rampok', 'rakyat'];untung beli pom rakyat beli beban subsidi rampok rakyat;-3;0
@UyokBack Yup. Pihak Vivo aja yg di subsidi. Bukan Pertamina;['iya', 'subsidi'];['iya', 'subsidi'];iya subsidi;0;1
@balschology @PartaiSocmed Bukan rugi tp karna pertamina itu anak BUMN, APBN sdh gk mampu ngasi subsidi ya pda akhirnya bikin harga naik;['rugi', 'anak', 'bumn', 'apbn', 'subsidi', 'harga'];['rugi', 'anak', 'bumn', 'apbn', 'subsidi', 'harga'];rugi anak bumn apbn subsidi harga;-5;0
Pengadaan Benih Kelapa... (05/Sep) , trend - Pertamina #tender #lelang https://t.co/SocE4M9xUf;['pengadaan', 'benih', 'kelapa', 'sep', 'tren', 'tender', 'lelang'];['benih', 'kelapa', 'sep', 'tren', 'tender', 'lelang'];benih kelapa sep tren tender lelang;-1;0
@BisKota_ Pertamina bener bener musuhi rakyat ...;['musuhi', 'rakyat'];['musuh', 'rakyat'];musuh rakyat;-4;0
@UyokBack Kata Dirut pertamina Rp 17.200 om... Ada turun rp 100, hasil negonya https://t.co/jxSpd8mJPw;['direktur utama', 'turun', 'hasil', 'nego'];['direktur utama', 'turun', 'hasil', 'nego'];direktur utama turun hasil nego;7;1
Hihi sebelum pertamina naik kerang udah naik duluan. Gak kira2 lagi naiknya. https://t.co/fD599hTqEk;['hihi', 'kerang', 'duluan', 'naiknya'];['hihi', 'kerang', 'duluan'];hihi kerang duluan;2;1
Ayo berapa negara subsidi pertalite??? Ini kata pemerintah Harga pertalite 17.200!!  Ini pernyataan resmi di RDP @pertamina dg @DPR_RI  Masih yakin harga pertalite disubsidi??? https://t.co/LHDCFeDsoN https://t.co/sEspXGcDld;['ayo', 'negara', 'subsidi', 'pertalite', 'pemerintah', 'harga', 'pertalite', 'pernyataan', 'resmi', 'rdp', 'harga', 'pertalite', 'disubsidi'];['ayo', 'negara', 'subsidi', 'pertalite', 'perintah', 'harga', 'pertalite', 'nyata', 'resmi', 'rdp', 'harga', 'pertalite', 'subsidi'];ayo negara subsidi pertalite perintah harga pertalite nyata resmi rdp harga pertalite subsidi;16;1
@OposisiCerdas Bubarkan aja pertamina skrng ini ga ada gunanya pjbt yg kek gini ga ngerti makna ketahanan energi bbm bg suatu neg apalagi cuman neg kemarin sore 77 th lalu lah elo blm lahir aja neg neg kompeni dunia udh bikin universitas ngebor minyak dikedalaman laut ngebor dgn tehnik miring;['bubarkan', 'gunanya', 'pejabat', 'paham', 'makna', 'ketahanan', 'energi', 'bbm', 'neg', 'cuman', 'neg', 'kemarin', 'sore', 'lahir', 'neg', 'neg', 'kompeni', 'dunia', 'universitas', 'ngebor', 'minyak', 'dikedalaman', 'laut', 'ngebor', 'tehnik', 'miring'];['bubar', 'jabat', 'paham', 'makna', 'tahan', 'energi', 'bbm', 'neg', 'cuman', 'neg', 'kemarin', 'sore', 'lahir', 'neg', 'neg', 'kompeni', 'dunia', 'universitas', 'ngebor', 'minyak', 'laut', 'ngebor', 'tehnik', 'miring'];bubar jabat paham makna tahan energi bbm neg cuman neg kemarin sore lahir neg neg kompeni dunia universitas ngebor minyak laut ngebor tehnik miring;6;1
@GeiszChalifah @NewTkngOdading Ahok itu maling triak maling. Ahok urus Jakarta ga becus, urus pertamina gak becus. Reklamasi sgt dicurigai akan menjadi pusat cina yg tertutup, tdk trsntuh masyarakat dn hukum transit manusia, barang ilegal, narkoba, judi, maksiat.;['ahok', 'maling', 'triak', 'maling', 'ahok', 'urus', 'jakarta', 'becus', 'urus', 'becus', 'reklamasi', 'segitu', 'dicurigai', 'pusat', 'cina', 'tertutup', 'trsntuh', 'masyarakat', 'hukum', 'transit', 'manusia', 'barang', 'ilegal', 'narkoba', 'judi', 'maksiat'];['ahok', 'maling', 'triak', 'maling', 'ahok', 'urus', 'jakarta', 'becus', 'urus', 'becus', 'reklamasi', 'segitu', 'curiga', 'pusat', 'cina', 'tutup', 'trsntuh', 'masyarakat', 'hukum', 'transit', 'manusia', 'barang', 'ilegal', 'narkoba', 'judi', 'maksiat'];ahok maling triak maling ahok urus jakarta becus urus becus reklamasi segitu curiga pusat cina tutup trsntuh masyarakat hukum transit manusia barang ilegal narkoba judi maksiat;7;1
Udhlah kata ak mah bubarin aja pertamina anjay, udh kompetitor masuk diatur2 harganya tapi ttep boncos;['udahlah', 'mah', 'bubar', 'anjing', 'kompetitor', 'masuk', 'diatur', 'harganya', 'ttep', 'boncos'];['udahlah', 'mah', 'bubar', 'anjing', 'kompetitor', 'masuk', 'atur', 'harga', 'ttep', 'boncos'];udahlah mah bubar anjing kompetitor masuk atur harga ttep boncos;0;1
@UyokBack Pakde @jokowi keknya harusnya ngerasa aneh sama org” @KementerianESDM 🤦🏻‍♂️🤦🏻‍♂️ … @pertamina ko @basuki_btp ga ada suaranya ? Hayo kalo org dagang jangan mau dibokisin sama regulator …;['pakde', 'keknya', 'ngerasa', 'aneh', 'orang', 'suaranya', 'hayo', 'orang', 'dagang', 'ditipu', 'regulator'];['pakde', 'kek', 'ngerasa', 'aneh', 'orang', 'suara', 'hayo', 'orang', 'dagang', 'tipu', 'regulator'];pakde kek ngerasa aneh orang suara hayo orang dagang tipu regulator;8;1
@pembualndeso @ichat88 @salmon_toding @SNiam25 @CNNIndonesia @RadioElshinta dengan harga segitu berarti pemerintah @jokowi dan @pertamina serta @DPR_RI membohongi masyarakat ! Negara tidak mensubsidi sepeserpun pertalite , bangsat memang !;['harga', 'segitu', 'pemerintah', 'membohongi', 'masyarakat', 'negara', 'mensubsidi', 'sepeserpun', 'pertalite', 'bangsat'];['harga', 'segitu', 'perintah', 'bohong', 'masyarakat', 'negara', 'subsidi', 'peser', 'pertalite', 'bangsat'];harga segitu perintah bohong masyarakat negara subsidi peser pertalite bangsat;-10;0
@anthwf77 Kyk nya yg antri itu pengemudi ojek online sama sopir angkot biar bisa bikin aplikasi my pertamina;['kayak', 'nya', 'antri', 'pengemudi', 'ojek', 'online', 'supir', 'angkot', 'biar', 'aplikasi'];['kayak', 'nya', 'antri', 'kemudi', 'ojek', 'online', 'supir', 'angkot', 'biar', 'aplikasi'];kayak nya antri kemudi ojek online supir angkot biar aplikasi;-4;0
@shitlicious Yang lebih menyebalkan lagi, vivo punya harga lebih murah dari pertamina disuruh naikin harga, ga boleh lebih murah 🤣🤣🤣;['menyebalkan', 'harga', 'murah', 'disuruh', 'harga', 'murah'];['sebal', 'harga', 'murah', 'suruh', 'harga', 'murah'];sebal harga murah suruh harga murah;10;1
@UyokBack Lah Vivo itu swasta, yang subsidi siapa? Klu gak subsidi kok bisa? Pertamina/pemerintah yg ungud ato mereka yang pintar? Coba tanya Pak @Ronnie_Rusli;['swasta', 'subsidi', 'subsidi', 'pemerintah', 'ungud', 'pintar', 'coba'];['swasta', 'subsidi', 'subsidi', 'perintah', 'ungud', 'pintar', 'coba'];swasta subsidi subsidi perintah ungud pintar coba;2;1
